book_id,location.city,location.country,location.world,mood,period.century,period.era,period.historical_event_context,source
1333909,Gloucester,United States,real,"melancholic, warm",20th-21st,contemporary,,mistral-large-latest
7327624,,,fictional,,,fantasy,,mistral-large-latest
6066819,,United States,real,"tense, hopeful",21st,contemporary,,mistral-large-latest
287141,Troy,Italy,real,"dramatic, tragic",1st century BCE,Classical Antiquity,"Fall of Troy, founding of Rome",mistral-large-latest
6066812,,,mixed,"exciting, mysterious",,contemporary with fantasy elements,fantasy war,mistral-large-latest
34883016,,,real,"tense, hopeful",,,,mistral-large-latest
287149,,,real,"thought-provoking, controversial",,,,mistral-large-latest
6066814,London,England,real,"suspenseful, foreboding",12,medieval,"Third Crusade, conflict between Richard the Lionheart and King Philip of France",mistral-large-latest
89371,,,real,"thoughtful, playful",,,,mistral-large-latest
28575155,Spirit Lake,United States,real,"foreboding, eerie",,contemporary,,mistral-large-latest
89375,,United States,real,"hopeful, peaceful, solemn",20th-21st,contemporary,,mistral-large-latest
89376,,,real,"uplifting, wonder, curiosity",,eternal,,mistral-large-latest
89377,,United States,real,"hopeful, bittersweet",20th,post-World War II,"Cold War, polio epidemic, Italian-American discrimination",mistral-large-latest
89378,,,fictional,"solace, nostalgic, hopeful",,,,mistral-large-latest
2008911,,,real,"tense, unsettling",,,,mistral-large-latest
2008910,,France,real,"nostalgic, dramatic",,,,mistral-large-latest
7203847,Haven,United States,real,"tense, ominous",,,,mistral-large-latest
6158967,,"Saudi Arabia, Equatorial Guinea, Venezuela, Iraq, Ecuador, Russia, Nigeria",real,"sobering, revealing",21st,contemporary,"Iraq War (2003), Hugo Chavez's presidency, Vladimir Putin's leadership",mistral-large-latest
12182387,,,real,"tense, dramatic",,,,mistral-large-latest
287142,,,real,intellectual,1st century BCE,Classical antiquity,Roman Empire,mistral-large-latest
16037548,,,mixed,"mysterious, emotional, dangerous",,,,mistral-large-latest
16037549,,,real,,,,,mistral-large-latest
12135833,,,real,"tense, heartwarming",,contemporary,,mistral-large-latest
18628482,,,real,"hopeful, solemn",,contemporary,,mistral-large-latest
29074697,Bath,United Kingdom,real,"tense, whimsical",21st,contemporary,Roman history (thematic),mistral-large-latest
18628480,,United States,real,"contemplative, somber",20th,early to mid-20th century,,mistral-large-latest
1902202,,,real,uneasy,,,,mistral-large-latest
3209316,,England,real,"lighthearted, charming",19th,Regency,,mistral-large-latest
25742454,,United States,real,"oppressive, desperate",,contemporary,,mistral-large-latest
4541271,,,fictional,"hopeful, tense",,far future,fall of the Galactic Empire,mistral-large-latest
3209319,"Key West, Havana","United States, Cuba",real,"tense, melancholic",20th,Great Depression,"Prohibition era, economic hardship",mistral-large-latest
30838933,,United States,real,"tense, hopeful",,contemporary,,mistral-large-latest
30838930,,Turkey,real,"contemplative, hopeful",,,,mistral-large-latest
18264569,,,real,"serious, insightful",21st,,,mistral-large-latest
13598461,,,real,,20th,,,mistral-large-latest
27419760,Chicago,United States,real,"hopeful, nostalgic",21st,contemporary,,mistral-large-latest
20566082,,,real,,,,,mistral-large-latest
13598465,,,fictional,,,,,mistral-large-latest
26831576,,Germany,real,"cozy, romantic",21st,contemporary,,mistral-large-latest
17320317,,United States,real,"serious, reflective",20th,mid-to-late 20th century,"post-1978 U.S. political landscape, rise of partisan polarization",mistral-large-latest
36299289,,,fictional,"mysterious, foreboding",31st,post-technological collapse,"civil unrest, scientific experimentation on reanimation",mistral-large-latest
9671976,,"England, Australia",real,"engaging, triumphant, dramatic",20th,modern,The Ashes cricket series,mistral-large-latest
9671977,Athens,Greece,real,"melancholic, inquisitive",4th century BCE,Hellenistic period,Alexander the Great's era,mistral-large-latest
28492512,,Mongolia,real,,,,,mistral-large-latest
1698376,,,real,lighthearted,,,,mistral-large-latest
2592648,,,mixed,"joyful, adventurous",,,,mistral-large-latest
30128855,,France,real,"disturbing, reflective",,contemporary,,mistral-large-latest
427479,,,real,"helpful, inspirational",,,,mistral-large-latest
13707894,,,real,,18th,Enlightenment,,mistral-large-latest
20135365,,,fictional,"claustrophobic, uncertain, hopeful",,futuristic,post-Earth survival,mistral-large-latest
24444536,,,fictional,"whimsical, cheerful",,,,mistral-large-latest
10789416,,,real,"professional, pragmatic",,,,mistral-large-latest
21401181,,England,mixed,"tense, desperate",21st,modern-day,,mistral-large-latest
22600550,,,real,"intense, emotional",,,,mistral-large-latest
22466716,,Switzerland,real,"whimsical, reflective",,,,mistral-large-latest
16158998,Chipping Cleghorn,United Kingdom,real,"intriguing, tense",20th,post-World War II,,mistral-large-latest
32615012,,United Kingdom,real,"tense, hopeful",19th,Victorian,,mistral-large-latest
32615013,,,real,"hopeful, uncertain",,,,mistral-large-latest
1907185,,,real,,,,,mistral-large-latest
2805495,,United Kingdom,real,"tense, intriguing",,contemporary,,mistral-large-latest
17373675,,,real,"playful, relatable",,contemporary,,mistral-large-latest
7075301,New York,United States,real,"playful, chaotic",21st,contemporary,,mistral-large-latest
17373671,,Maldive,real,"desperate, hopeful",,contemporary,,mistral-large-latest
1393555,,Russia,real,"oppressive, despairing, tense",20th,,"Russian history, early 20th century",mistral-large-latest
13571772,,,real,"tense, foreboding",,contemporary,,mistral-large-latest
16201706,,,fictional,"adventurous, urgent",,contemporary,,mistral-large-latest
10866987,,France,real,,20th,,Westernization in Arab and Islamic education,mistral-large-latest
30525379,Woodstock,United States,real,"eerie, melancholic",,contemporary,,mistral-large-latest
35452242,Bronx,United States,real,"somber, reflective",21st,contemporary,Iraq War,mistral-large-latest
25317381,,United States,real,"somber, urgent",21st,contemporary,,mistral-large-latest
23615331,imperial city,Kjall,fictional,"tense, romantic",,fantasy medieval,neighboring nation collapse,mistral-large-latest
18138604,,,real,"suspenseful, romantic",,contemporary,,mistral-large-latest
780911,London,United Kingdom,real,"oppressive, hopeful",19th,Victorian,,mistral-large-latest
10099492,Bathory,,fictional,"tense, foreboding",,,,mistral-large-latest
780912,Carcassonne,France,real,"mysterious, suspenseful","13th, 21st","medieval, contemporary",Albigensian Crusade,mistral-large-latest
780917,Fontevrai,Quitaine,fictional,"tense, urgent",,medieval-inspired,War of the Rose and Serpent,mistral-large-latest
18283092,unspecified urban area,United States,real,"tense, reflective",20th or 21st,contemporary,end-time Bible prophecy,mistral-large-latest
18283091,,Thailand,real,"melancholic, hopeful",,,,mistral-large-latest
26864719,,,real,"tense, erotic",,,,mistral-large-latest
23566096,,Russia,real,"reflective, tense",19th,late 1800s,,mistral-large-latest
18283095,,,real,,,,,mistral-large-latest
18283098,,United Kingdom,real,"thoughtful, nostalgic",20th-21st,,,mistral-large-latest
13586237,,,real,nostalgic,20th,modern,,mistral-large-latest
3631900,,Nigeria,real,"curious, hopeful",,contemporary,,mistral-large-latest
22642978,,United Kingdom,fictional,"tense, intriguing",,contemporary fantasy,,mistral-large-latest
22722787,Louisville,United States,real,"gritty, desperate, tense",21st,contemporary,,mistral-large-latest
23815926,Oxford,United Kingdom,real,"foreboding, tense, melancholic",,contemporary,,mistral-large-latest
707611,,United States,real,"exciting, hopeful",20th,Great Depression,,mistral-large-latest
